
is_mt,latitude,longitude
0,40.7040619,-73.8244415
0,40.6139852,-74.1012756
0,40.7612802,-73.9047273
0,40.7503519,-73.8188372
0,40.6410808,-73.9181626
1,40.7398662,-73.9895819
0,40.7232739,-73.9422225
0,40.6969863,-73.9352238
0,40.6845131,-73.9093801
0,40.6588998,-73.8417886
0,40.7012787,-73.9395114
0,40.7843447,-73.81656
1,40.7979463,-73.9400231
0,40.5840651,-73.9339653
1,40.7849422,-73.9465889
0,40.733607,-73.8499464
0,40.7259197,-73.8953397
0,40.7888417,-73.8138031
0,40.5789366,-73.9852115
0,40.6944695,-73.7814633
0,40.6652456,-73.8751231
1,40.8207698,-73.9545846
0,40.684588,-73.785689
0,40.596579,-73.7541794
1,40.7517891,-73.9863209
0,40.631344,-73.8935101
1,40.7353901,-73.9751095
0,40.6845131,-73.9093801
0,40.5879113,-73.967834
1,40.7606005,-73.9643142
0,40.6891376,-73.9907077
0,40.7181501,-73.8847388
0,40.5861291,-73.9501034
1,40.7922458,-73.9462797
1,40.8595445,-73.9279763
0,40.6391762,-74.121823
0,40.7188893,-73.8415885
0,40.6372163,-74.0185197
0,40.644513,-73.9631259
0,40.7442637,-73.876747
0,40.6599379,-73.9534615
0,40.7666673,-73.9303872
0,40.6351864,-73.9286112
0,40.7630088,-73.8753225
1,40.7353704,-73.9899687
0,40.6148313,-73.998372
0,40.7489156,-73.9373965
0,40.7379993,-73.8838601
1,40.7131354,-74.0040581
1,40.7448014,-73.9914181
0,40.6847054,-73.9441849
0,40.7447332,-73.9335895
0,40.7847079,-73.8119802
0,40.7061424,-73.831765
0,40.6292166,-73.994578
0,40.6901751,-73.9552649
0,40.7177091,-73.8630194
0,40.6272771,-74.0205992
0,40.6321559,-74.0275073
0,40.5584106,-74.1693169
0,40.637108,-73.8933748
0,40.7355729,-73.8811039
1,40.7839004,-73.9740586
0,40.7483111,-73.7095345
1,40.8072193,-73.9374681
0,40.743369,-73.8276472
0,40.7844841,-73.8568082
0,40.7420652,-73.9092477
0,40.6716068,-73.8690622
0,40.6805378,-73.8867363
0,40.7210636,-73.7594419
0,40.6377818,-74.0179326
0,40.7426844,-73.8546209
0,40.6041382,-73.9512532
1,40.8126237,-73.9630147
0,40.6335917,-73.9736523
0,40.7265956,-73.8168308
1,40.7624177,-73.9569852
0,40.6378239,-73.9892051
1,40.746417,-73.9818325
1,40.7279758,-73.988119
0,40.6546816,-73.9413268
0,40.5728742,-73.994903
0,40.7260914,-73.7225692
0,40.6324369,-73.8881726
1,40.759308,-73.9652931
0,40.6756249,-73.8987786
0,40.6418152,-73.995813
0,40.6508616,-73.9726364
0,40.5852401,-74.0934086
0,40.6722279,-73.9447109
0,40.7136199,-73.830379
0,40.6960346,-73.9845292
1,40.7609285,-73.969133
0,40.696619,-73.732263
1,40.7711469,-73.9679946
0,40.6147768,-73.9768257
0,40.5985519,-73.9973389
0,40.7009367,-73.8402102
0,40.67493,-73.866067
1,40.7948085,-73.9444068
0,40.6667139,-73.7515526
0,40.6053141,-73.9849248
0,40.6096893,-74.0148637
0,40.6837196,-73.9201546
1,40.7373607,-73.996839
0,40.6190947,-74.0860069
1,40.8114771,-73.9502162
0,40.6981167,-73.9775324
0,40.6676813,-73.9618082
0,40.7216393,-73.8698694
1,40.819007,-73.9465218
0,40.6606652,-73.8808806
1,40.8194796,-73.9418608
0,40.657753,-73.89612
0,40.73477,-73.8745815
0,40.5792123,-73.9762585
0,40.6789177,-73.7595002
0,40.77396,-73.917761
0,40.6127809,-73.9966
1,40.744099,-73.9956441
1,40.7349628,-73.9797897
0,40.6468531,-74.0192539
0,40.6652326,-73.9314554
0,40.7551998,-73.7284
0,40.6960346,-73.9845292
0,40.6772073,-73.897226
0,40.6489841,-73.9484023
0,40.6152063,-74.0846476
1,40.7640559,-73.9922423
0,40.676144,-73.8930673
0,40.7036554,-73.8224589
0,40.6178527,-73.9880665
0,40.7006522,-73.8962702
0,40.6476889,-73.9023562
0,40.6180871,-74.0227324
1,40.7252872,-73.9779779
1,40.7653597,-73.993419
0,40.7444397,-73.9096775
0,40.7181026,-73.7507189
0,40.6661202,-73.8222416
1,40.7817499,-73.9810645
1,40.7482467,-73.9762885
0,40.6164151,-74.1035089
0,40.6473362,-73.9684288
0,40.6366971,-73.9070418
0,40.7144019,-73.7380208
0,40.7277544,-73.9572421
0,40.7353895,-73.7348928
0,40.6580713,-73.960426
0,40.6160442,-74.0082556
0,40.6873091,-73.947601
0,40.7104205,-73.8596365
1,40.743324,-73.9840744
1,40.7397514,-74.0025224
0,40.6662883,-73.9508365
0,40.7385881,-73.9064738
0,40.7599172,-73.8795264
0,40.6689504,-73.9338885
0,40.6915553,-73.936758
0,40.6362673,-73.9480158
1,40.7146779,-74.005887
0,40.749363,-73.94041
1,40.7237962,-74.000368
0,40.7699613,-73.8265711
1,40.7199351,-73.9787516
0,40.6783648,-73.7794791
0,40.6767852,-73.9691792
0,40.7246918,-73.7540928
0,40.6581196,-73.9339965
0,40.7147406,-73.886974
1,40.7665043,-73.9941734
0,40.7048474,-73.8011112
0,40.7497715,-73.8637583
0,40.6714232,-73.8430098
0,40.6396712,-73.9631862
1,40.7339784,-73.9866782
0,40.556819,-74.1360282
1,40.738552,-73.9996824
0,40.6572088,-73.9002951
0,40.6538564,-74.0081666
0,40.7140707,-73.9543399
0,40.7558402,-73.8344766
